代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12077175.6900000013
真實報酬,2077175.6900000013
趨勢值,0.2038589960

選擇檔數,8
找到最佳解世代,1816
找到最佳解實驗,3
Stock#,AXP,BA,CAT,HD,JNJ,MCD,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,15905,7076,13547,8525,10024,9644,7548,13988,
剩餘資金,26.0499999999,24.6000000000,18.3100000001,64.5000000000,107.4400000000,41.1599999999,126.6800000000,32.3200000000,
FS(37),1226619.6500000001,1310853.5999999999,1408228.9600000002,1321439.5000000000,1278267.6799999999,1441819.1599999999,1325480.0000000000,1326234.6000000001,10638943.1500000004,
FS(38),1231709.2500000000,1323731.9199999999,1422724.2500000000,1333886.0000000000,1278468.1599999999,1444519.4800000000,1344048.0800000001,1329451.8400000001,10708538.9800000004,
FS(39),1232027.3499999999,1320335.4399999999,1431394.3300000001,1320587.0000000000,1272353.5200000000,1445291.0000000000,1339896.6799999999,1324276.2800000000,10686161.6000000015,
FS(40),1226142.5000000000,1322387.4799999997,1428820.4000000001,1311891.5000000000,1274258.0799999998,1445966.0800000001,1333028.0000000000,1324975.6799999999,10667469.7199999988,
FS(41),1223756.7500000000,1327694.4799999997,1428278.5200000003,1308737.2500000000,1285685.4399999999,1455224.3199999998,1322385.3200000001,1332109.5600000001,10683871.6400000006,
FS(42),1245069.4500000000,1325500.9199999999,1431258.8600000001,1322718.2500000000,1290998.1599999999,1469690.3199999998,1355596.5200000000,1334487.5200000003,10775320.0000000000,
FS(43),1248409.5000000000,1346092.0799999998,1435322.9600000002,1324423.2500000000,1304029.3600000001,1482709.7200000000,1354162.3999999999,1344978.5200000003,10840127.7899999991,
FS(44),1256043.9000000001,1337034.7999999998,1425162.7100000002,1319649.2500000000,1306836.0800000001,1473547.9199999999,1354011.4399999999,1350573.7200000000,10822859.8200000003,
FS(45),1254135.3000000000,1321467.5999999999,1416357.1599999999,1314619.5000000000,1311547.3600000001,1458503.2799999998,1364956.0399999998,1339942.8400000001,10781529.0800000001,
FS(46),1269404.1000000001,1331020.1999999997,1402268.2800000000,1321098.5000000000,1310745.4399999999,1465350.5199999998,1382995.7600000000,1344139.2400000002,10827022.0400000010,
FS(47),1271630.8000000000,1343969.2799999998,1422588.7800000000,1308652.0000000000,1308740.6400000001,1460432.0800000001,1371522.7999999998,1344139.2400000002,10831675.6200000010,
FS(48),1277356.6000000001,1344676.8799999999,1434916.5500000000,1304048.5000000000,1318564.1599999999,1460914.2799999998,1369786.7600000000,1322737.6000000001,10833001.3300000001,
FS(49),1275129.9000000001,1344464.5999999999,1436948.5999999999,1297399.0000000000,1321471.1199999999,1431885.8399999999,1353105.6799999999,1307910.3200000001,10768315.0600000005,
FS(50),1281810.0000000000,1352177.4399999999,1432613.5600000001,1312829.2500000000,1323475.9200000002,1444905.2399999998,1366692.0800000001,1330011.3600000001,10844514.8499999996,
FS(51),1285786.2500000000,1361305.4799999997,1418524.6799999999,1336443.5000000000,1330993.9200000002,1453199.0800000001,1376579.9600000000,1333368.4800000000,10896201.3500000015,
FS(52),1283559.5500000000,1383028.7999999998,1441419.1100000001,1336528.7500000000,1333700.3999999999,1457924.6399999999,1361634.9199999999,1317282.2800000000,10915078.4500000011,
FS(53),1295488.3000000000,1390034.0399999998,1457675.5100000000,1335420.5000000000,1346831.8399999999,1465832.7200000000,1371069.9199999999,1317282.2800000000,10979635.1100000013,
FS(54),1302327.4500000000,1408714.6799999999,1456185.3400000001,1353919.7500000000,1344025.1199999999,1476923.3199999998,1381561.6399999999,1325954.8400000001,11049612.1400000006,
FS(55),1312347.6000000001,1403407.6799999999,1450089.1900000002,1344201.2500000000,1345528.7200000000,1485892.2399999998,1383448.6399999999,1320219.7600000000,11045135.0800000001,
FS(56),1307576.0999999999,1409351.5199999998,1401726.4000000001,1334994.2500000000,1352445.2799999998,1482613.2799999998,1395902.8399999999,1322457.8400000001,11007067.5099999998,
FS(57),1308212.3000000000,1411262.0399999998,1406738.7900000000,1325531.5000000000,1363872.6400000001,1492932.3600000001,1407828.6799999999,1314204.9200000002,11030583.2300000004,
FS(58),1307735.1500000001,1431004.0799999998,1410396.4800000000,1289982.2500000000,1367681.7600000000,1491389.3199999998,1398393.6799999999,1337005.3600000001,11033588.0800000001,
FS(59),1319504.8499999999,1415083.0799999998,1412293.0600000001,1290920.0000000000,1366779.6000000001,1484831.3999999999,1397412.4399999999,1331969.6799999999,11018794.1099999994,
FS(60),1321413.4500000000,1407370.2399999998,1407958.0200000003,1297910.5000000000,1353447.6799999999,1482516.8399999999,1393487.4800000000,1327493.5200000003,10991597.7300000004,
FS(61),1335568.9000000001,1412535.7200000000,1442096.4600000002,1306350.2500000000,1341519.1199999999,1488110.3600000001,1401790.2799999998,1346097.5600000001,11074068.6500000004,
FS(62),1330161.2000000000,1397251.5599999998,1431123.3900000001,1297228.5000000000,1329690.7999999998,1476826.8799999999,1398544.6399999999,1320779.2800000000,10981606.2500000000,
FS(63),1339863.2500000000,1399303.5999999999,1455778.9299999999,1307799.5000000000,1326182.3999999999,1477116.2000000000,1399676.8399999999,1311826.9600000002,11017547.6800000016,
FS(64),1353541.5500000000,1405247.4399999999,1449140.9000000001,1312999.7500000000,1332297.0400000000,1470751.1599999999,1408960.8799999999,1305812.1199999999,11038750.8399999999,
FS(65),1350201.5000000000,1428032.1599999999,1456185.3400000001,1301746.7500000000,1339714.7999999998,1476248.2399999998,1421037.6799999999,1315044.2000000002,11088210.6700000018,
FS(66),1331910.7500000000,1425697.0799999998,1442909.2800000000,1296290.7500000000,1328487.9200000002,1476441.1199999999,1411149.7999999998,1304413.3200000001,11017300.0199999996,
FS(67),1341294.7000000000,1431994.7200000000,1448463.5500000000,1297825.2500000000,1328688.3999999999,1507109.0400000000,1418848.7600000000,1313785.2800000000,11088009.7000000011,
FS(68),1340817.5500000000,1443245.5599999998,1460926.7900000000,1288874.0000000000,1318764.6400000001,1499876.0400000000,1411225.2799999998,1330151.2400000002,11093881.1000000015,
FS(69),1338590.8500000001,1459591.1199999999,1466345.5900000001,1283929.5000000000,1315556.9599999997,1493993.2000000000,1403677.2799999998,1334627.3999999999,11096311.9000000004,
FS(70),1349088.1499999999,1460794.0399999998,1476099.4299999999,1300894.2500000000,1325580.9599999997,1510098.6799999999,1409262.7999999998,1345398.1600000001,11177216.4699999988,
FS(71),1357835.9000000001,1459308.0799999998,1469461.4000000001,1306861.7500000000,1321872.0800000001,1495246.9199999999,1400129.7200000000,1342041.0400000000,11152756.8900000006,
FS(72),1356404.4500000000,1475441.3599999999,1473525.5000000000,1303366.5000000000,1329289.8399999999,1497561.4800000000,1410847.8799999999,1355889.1600000001,11202326.1699999999,
FS(73),1355450.1500000001,1478908.5999999999,1474473.7900000000,1311976.7500000000,1324779.0400000000,1497368.5999999999,1406696.4800000000,1354490.3600000001,11204143.7699999996,
FS(74),1360221.6499999999,1473530.8399999999,1450495.5999999999,1297313.7500000000,1347934.4800000000,1484831.3999999999,1410470.4800000000,1364981.3600000001,11189779.5600000005,
FS(75),1366742.7000000002,1492211.4799999997,1461062.2600000000,1306947.0000000000,1355452.4800000000,1484156.3199999998,1428132.7999999998,1374353.3200000001,11269058.3599999994,
FS(76),1357517.8000000000,1487965.8799999999,1453882.3499999999,1253495.2500000000,1369085.1199999999,1487242.3999999999,1445568.6799999999,1372395.0000000000,11227152.4799999986,
FS(77),1361335.0000000000,1501127.2399999998,1443993.0400000000,1250255.7500000000,1356454.8799999999,1484445.6399999999,1447682.1199999999,1393237.1199999999,11238530.7900000010,
FS(78),1351951.0500000000,1501410.2799999998,1465532.7700000003,1232609.0000000000,1333399.6799999999,1464482.5599999998,1440964.3999999999,1404007.8800000001,11194357.6200000029,
FS(79),1358472.1000000001,1503391.5599999998,1551691.6900000002,1252983.7500000000,1322072.5599999998,1534112.2399999998,1437265.8799999999,1398692.4399999999,11358682.2199999988,
FS(80),1356722.5500000000,1651916.7999999998,1537873.7500000000,1250596.7500000000,1312750.2399999998,1509423.5999999999,1439907.6799999999,1410722.1199999999,11469913.4900000002,
FS(81),1333660.3000000000,1705340.5999999999,1549388.7000000002,1259462.7500000000,1311547.3600000001,1513666.9599999997,1426170.3200000001,1392817.4800000000,11492054.4700000007,
FS(82),1348770.0500000000,1707251.1199999999,1545731.0100000000,1262446.5000000000,1321771.8399999999,1503058.5599999998,1442926.8799999999,1386942.5200000003,11518898.4799999986,
FS(83),1355609.2000000002,1715671.5599999998,1543698.9600000002,1275404.5000000000,1330492.7200000000,1496211.3199999998,1447908.5600000001,1392677.6000000001,11557674.4200000018,
