代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11482225.5499999989
真實報酬,1482225.5499999989
趨勢值,0.5760161951

選擇檔數,8
找到最佳解世代,2016
找到最佳解實驗,1
Stock#,CAT,CSCO,CVX,DIS,HD,INTC,KO,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10568,38699,11493,12315,8290,35622,27304,15949,
剩餘資金,16.9600000000,22.3000000001,21.3199999999,27.5000000000,33.8000000000,24.0199999999,22.8800000000,76.8699999999,
FS(31),1389391.9199999999,1297986.7600000000,1380675.4099999997,1208498.4500000000,1361417.6000000001,1416354.7399999998,1272935.3599999999,1367544.1299999999,10694804.3699999992,
FS(32),1379563.6799999999,1300308.7000000002,1381709.7799999998,1211330.8999999999,1354205.3000000000,1417423.3999999997,1270204.9600000000,1371371.8899999999,10686118.6100000013,
FS(33),1387489.6799999999,1298373.7500000000,1357919.2699999998,1209976.2500000000,1355034.3000000000,1433809.5199999998,1266928.4799999997,1375199.6499999999,10684730.9000000004,
FS(34),1390237.3600000001,1306113.5500000000,1358493.9199999999,1219335.6500000001,1353293.4000000001,1428110.0000000000,1272116.2400000000,1378070.4700000000,10705770.5899999999,
FS(35),1388229.4400000002,1325463.0500000000,1363550.8399999999,1224138.5000000000,1354868.5000000000,1440221.4799999997,1266382.3999999999,1394657.4299999999,10757511.6400000025,
FS(36),1391611.2000000000,1329332.9500000002,1366883.8099999998,1215518.0000000000,1365728.4000000001,1454470.2799999998,1264744.1599999999,1413955.7200000000,10802244.5199999996,
FS(37),1460937.2800000000,1338233.7200000000,1370331.7100000000,1210468.8500000001,1376422.5000000000,1458744.9199999999,1260921.5999999999,1403269.8899999999,10879330.4700000007,
FS(38),1446142.0800000001,1327398.0000000000,1361252.2399999998,1204434.5000000000,1376754.1000000001,1452689.1799999999,1257372.0799999998,1411244.3899999999,10837286.5699999984,
FS(39),1447198.8799999999,1326237.0300000003,1361252.2399999998,1213793.9000000001,1389852.3000000000,1472993.7199999997,1262286.7999999998,1413477.2500000000,10887092.1200000010,
FS(40),1456393.0400000000,1332428.8700000001,1304936.5399999998,1210715.1500000001,1387282.4000000001,1581640.8199999998,1257918.1599999999,1406300.2000000000,10937615.1799999997,
FS(41),1442443.2800000000,1317336.2600000000,1314705.5899999999,1207390.1000000001,1370453.7000000000,1580572.1599999997,1252184.3199999998,1386842.4199999999,10871927.8300000019,
FS(42),1435151.3600000001,1321593.1499999999,1331945.0899999999,1204557.6500000001,1374350.0000000000,1620468.7999999998,1255460.7999999998,1392584.0599999998,10936110.9100000001,
FS(43),1440329.6799999999,1339781.6799999999,1332060.0199999998,1219581.9500000000,1371034.0000000000,1663927.6399999999,1250546.0799999998,1402631.9299999999,11019892.9800000004,
FS(44),1442231.9199999999,1323915.0900000001,1325509.0099999998,1211207.7500000000,1348899.7000000002,1677820.2199999997,1252730.3999999999,1416348.0699999998,10998662.1600000001,
FS(45),1443922.7999999998,1333976.8300000001,1321601.3899999997,1214779.1000000001,1362826.8999999999,1650747.5000000000,1255187.7599999998,1430383.1899999999,11013425.4700000007,
FS(46),1455336.2400000000,1331654.8899999999,1345162.0399999998,1239409.1000000001,1361417.6000000001,1663571.4199999999,1241535.7599999998,1414753.1699999999,11052840.2200000025,
FS(47),1466961.0400000000,1331267.8999999999,1347460.6399999997,1251354.6499999999,1356775.2000000000,1666421.1799999999,1254368.6399999999,1418740.4199999999,11093349.6700000018,
FS(48),1450897.6799999999,1335137.8000000000,1340909.6299999999,1246059.2000000002,1360008.3000000000,1663571.4199999999,1260921.5999999999,1439633.6099999999,11097139.2400000002,
FS(49),1430290.0800000001,1317723.2500000000,1347460.6399999997,1264531.7000000002,1353542.1000000001,1649322.6199999996,1262286.7999999998,1440271.5699999998,11065428.7599999979,
FS(50),1442337.5999999999,1315401.3100000001,1346771.0599999998,1290393.2000000000,1360505.7000000002,1623674.7799999998,1270751.0399999998,1450159.9500000000,11099994.6400000006,
FS(51),1442866.0000000000,1313853.3500000001,1347345.7100000000,1289900.5999999999,1370785.3000000000,1629730.5199999998,1275665.7599999998,1451276.3799999999,11121423.6200000010,
FS(52),1453539.6799999999,1317336.2600000000,1343782.8799999999,1270566.0500000000,1393251.2000000000,1633648.9399999997,1295051.5999999999,1452871.2800000000,11160047.8900000025,
FS(53),1417185.7600000000,1320045.1899999999,1338381.1699999999,1276969.8499999999,1371780.1000000001,1619400.1399999999,1278123.1199999999,1432775.5399999998,11054660.8699999992,
FS(54),1441069.4400000002,1388542.4200000002,1316774.3299999998,1275861.5000000000,1388608.8000000000,1626168.3199999998,1271024.0799999998,1588916.2500000000,11296965.1400000006,
FS(55),1438638.7999999998,1389316.3999999999,1318383.3499999999,1273891.0999999999,1390598.4000000001,1589833.8799999999,1248088.7200000000,1554625.8999999999,11203376.5499999989,
FS(56),1446881.8399999999,1412535.8000000000,1318498.2799999998,1265393.7500000000,1413064.3000000000,1589477.6599999997,1241262.7200000000,1554785.3899999999,11241899.7400000002,
FS(57),1454173.7600000000,1418340.6499999999,1323670.1299999999,1268472.5000000000,1433043.2000000002,1600876.6999999997,1250000.0000000000,1539474.3499999999,11288051.2900000010,
FS(58),1458506.6399999999,1410600.8500000001,1332174.9499999997,1265270.5999999999,1426411.2000000000,1590546.3199999998,1251638.2400000000,1537719.9599999997,11272868.7599999998,
FS(59),1451954.4799999997,1412148.8100000001,1339070.7500000000,1264039.1000000001,1428649.5000000002,1594108.5199999998,1252730.3999999999,1541069.2500000000,11283770.8100000005,
FS(60),1449840.8799999999,1426854.4299999999,1328497.1899999999,1265886.3500000001,1443820.2000000000,1584846.7999999998,1253276.4799999997,1541069.2500000000,11294091.5800000001,
FS(61),1468863.2800000000,1460135.5699999998,1338381.1699999999,1273521.6499999999,1463799.1000000001,1593396.0799999996,1251365.2000000000,1543461.5999999999,11392923.6500000004,
FS(62),1459035.0400000000,1450460.8199999998,1346771.0599999998,1296058.0999999999,1469436.3000000000,1565610.9199999999,1242354.8799999999,1556061.3099999998,11385788.4299999997,
FS(63),1491690.1599999999,1443495.0000000000,1367573.3899999997,1290885.7999999998,1490741.6000000001,1597314.5000000000,1249726.9600000000,1550798.1399999999,11482225.5499999989,
