代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11824732.6200000010
真實報酬,1824732.6200000010
趨勢值,0.2051696458

選擇檔數,8
找到最佳解世代,2053
找到最佳解實驗,2
Stock#,AAPL,CSCO,CVX,INTC,MCD,TRV,UNH,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,17445,58004,11247,52192,13437,15574,17670,13881,
剩餘資金,65.7499999999,13.8000000000,8.4200000000,1.6000000000,90.2600000001,30.7599999999,24.2000000001,15.9500000000,
FS(58),1425496.7000000000,1334105.8000000000,1394523.9500000000,1370563.5200000003,1353599.2700000000,1375370.7000000000,1336936.4000000001,1393807.1599999999,10984403.5000000000,
FS(59),1480622.9000000001,1335265.8800000001,1414093.7300000000,1374216.9600000000,1347955.7300000000,1396084.1200000001,1338350.0000000000,1404356.7200000000,11090946.0400000010,
FS(60),1476261.6500000001,1343386.4399999999,1416793.0100000000,1382045.7600000000,1363945.7600000000,1415707.3600000001,1328808.2000000002,1408243.3999999999,11135191.5800000001,
FS(61),1470679.2500000000,1340486.2400000000,1411731.8599999999,1393006.0800000001,1362333.3199999998,1410723.6799999999,1325981.0000000002,1421569.1599999999,11136510.5899999999,
FS(62),1474168.2500000000,1334685.8400000001,1405208.5999999999,1380480.0000000000,1356689.7800000000,1414617.1799999999,1324390.7000000002,1407688.1599999999,11097928.5099999998,
FS(63),1476785.0000000000,1330625.5600000001,1402734.2600000000,1378392.3200000001,1363005.1700000002,1417264.7600000000,1325804.3000000003,1416016.7600000000,11110628.1300000008,
FS(64),1497719.0000000000,1331785.6400000001,1409932.3399999999,1365866.2400000002,1359108.4399999999,1411813.8600000001,1329338.3000000003,1428509.6599999999,11134073.4799999986,
FS(65),1481495.1500000001,1317864.6799999999,1405546.0100000000,1367432.0000000000,1356555.4100000001,1399821.8799999999,1329868.4000000004,1425178.2200000000,11083761.7500000000,
FS(66),1476261.6500000001,1326565.2800000000,1419717.2300000000,1376304.6400000001,1370126.7800000000,1418354.9399999999,1376693.9000000001,1431285.8599999999,11195310.2799999993,
FS(67),1465445.7500000000,1335265.8800000001,1406895.6499999999,1374738.8800000001,1369992.4100000001,1421002.5200000000,1358670.5000000002,1420319.8699999999,11152331.4600000009,
FS(68),1459340.0000000000,1335265.8800000001,1406220.8299999998,1372651.2000000002,1383160.6700000002,1421936.9600000000,1359730.7000000002,1415183.8999999999,11153490.1400000006,
FS(69),1477482.8000000000,1345126.5600000001,1408582.7000000000,1376304.6400000001,1382220.0800000001,1433461.7200000002,1373690.0000000000,1419070.5800000001,11215939.0800000019,
FS(70),1479750.6499999999,1325985.2400000000,1415443.3699999999,1380480.0000000000,1391222.8700000001,1447011.0999999999,1378991.0000000002,1420875.1099999999,11239759.3400000017,
FS(71),1480099.5500000000,1323085.0400000000,1421854.1599999999,1374216.9600000000,1384504.3700000001,1442961.8600000001,1363618.1000000003,1419903.4399999999,11210243.4800000023,
FS(72),1467539.1500000001,1402550.5200000000,1392499.4900000000,1357515.5200000003,1377382.7600000000,1438601.1400000001,1351425.8000000003,1398943.1299999999,11186457.5099999998,
FS(73),1489170.9500000000,1413571.2800000000,1385413.8799999999,1347599.0400000000,1385982.4399999999,1441871.6799999999,1354429.7000000002,1398387.8899999999,11216426.8600000013,
FS(74),1506790.4000000001,1412411.2000000002,1382827.0700000001,1359081.2800000000,1371873.5900000001,1444830.7400000000,1364148.2000000002,1400192.4199999999,11242154.9000000004,
FS(75),1507139.3000000000,1399070.2800000000,1377765.9199999999,1359081.2800000000,1364348.8700000001,1443273.3400000001,1354606.4000000001,1397416.2200000000,11202701.6099999994,
FS(76),1511151.6500000001,1419951.7200000000,1396435.9399999999,1367432.0000000000,1378188.9800000000,1446232.3999999999,1373336.6000000001,1416294.3799999999,11309023.6699999999,
