代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12216016.6500000004
真實報酬,2216016.6500000004
趨勢值,0.1319846491

選擇檔數,6
找到最佳解世代,1904
找到最佳解實驗,1
Stock#,BA,MRK,MSFT,NKE,UNH,WBA,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,38060,55518,69939,117702,60916,53607,
剩餘資金,18.6000000000,15.6400000000,19.6300000001,5.6800000000,4.2400000000,24.3700000000,
FS(55),2034325.6000000001,1872637.7800000000,1843611.6700000002,1944442.7200000000,1518030.9600000002,2164138.9600000000,11377191.6899999995,
FS(56),1974952.0000000000,1872082.6000000001,1844311.0600000003,1915017.2200000000,1581383.6000000001,2147520.7900000000,11335271.2699999996,
FS(57),1926996.4000000001,1814343.8800000001,1858998.2500000000,1905601.0600000001,1530214.1600000001,2113748.3799999999,11149906.1300000008,
FS(58),1943742.8000000000,1824892.3000000000,1859697.6400000001,1918548.2800000000,1566154.6000000001,2116964.8000000003,11230004.4199999999,
FS(59),1898832.0000000000,1800464.3800000001,1959710.4100000001,1887945.7599999998,1574682.8400000001,2093377.7200000000,11215017.1099999994,
FS(60),1837936.0000000000,1777702.0000000002,2005870.1500000001,1876175.5599999998,1541788.2000000000,2085336.6699999999,11124812.5800000001,
FS(61),1817383.6000000001,1800464.3800000001,1999575.6400000001,1885591.7200000000,1614278.2400000000,2021008.2700000003,11138305.8499999996,
FS(62),1797211.8000000000,1779367.5400000000,1959710.4100000001,1840864.9600000000,1576510.3199999998,1988308.0000000002,10941977.0300000012,
FS(63),1857727.2000000002,1738284.2200000000,1973698.2100000000,1874998.5399999998,1612450.7600000000,2058533.1699999999,11115696.1000000015,
FS(64),1819286.6000000001,1717187.3800000001,1939428.1000000001,1830271.7800000000,1580774.4399999999,2027977.1799999999,10914929.4800000004,
FS(65),1837174.8000000003,1735508.3200000003,1949918.9500000000,1839687.9399999999,1609404.9600000002,2075151.3400000001,11046850.3100000005,
FS(66),1830704.6000000001,1702752.7000000002,1925440.3000000003,1844396.0200000000,1639253.8000000000,2060677.4500000000,11003228.8700000010,
FS(67),1829562.8000000000,1812123.1600000001,1962507.9700000000,1845573.0399999998,1697733.1600000001,2116428.7300000000,11263932.8600000013,
FS(68),1894264.8000000003,1816009.4200000002,1991182.9600000000,1905601.0600000001,1718444.6000000001,2148056.8600000003,11473563.7000000011,
FS(69),1890839.4000000001,1809347.2600000002,1994679.9100000001,1899715.9600000000,1746465.9600000002,2121253.3600000003,11462305.8500000015,
FS(70),1954399.6000000001,1855982.3800000001,2027551.2400000000,1922079.3399999996,1774487.3199999998,2146448.6499999999,11680952.5299999993,
FS(71),1915197.8000000000,1865975.6200000001,2028950.0200000003,1897361.9200000002,1764740.7600000000,2122861.5700000003,11595091.6899999995,
FS(72),1928899.4000000001,1844323.6000000001,2036643.3100000003,1910309.1399999999,1789107.1600000001,2109995.8900000001,11619282.5000000000,
FS(73),1913675.4000000001,1830999.2800000000,2053428.6700000002,1885591.7200000000,1751948.4000000001,2097130.2100000000,11532777.6799999997,
FS(74),1928899.4000000001,1837661.4400000002,2072312.2000000000,1896184.8999999999,1771441.5199999998,2111068.0300000003,11617571.4900000002,
FS(75),1997407.3999999999,1877079.2200000002,2066017.6900000002,1944442.7200000000,1775705.6399999999,2112140.1699999999,11772796.8399999999,
FS(76),1999310.4000000001,1903727.8600000001,2098189.6299999999,1911486.1599999997,1764740.7600000000,2109459.8200000003,11786918.6299999990,
FS(77),1979899.8000000003,1950918.1600000001,2105882.9199999999,1896184.8999999999,1758649.1600000001,2093913.7900000003,11785452.7300000004,
FS(78),1957444.4000000001,1961466.5800000001,2082803.0500000003,1870290.4600000000,1744029.3199999998,2092305.5800000001,11708343.3900000006,
