代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11625148.3300000019
真實報酬,1625148.3300000019
趨勢值,0.1888209745

選擇檔數,8
找到最佳解世代,2868
找到最佳解實驗,1
Stock#,AXP,BA,HD,JNJ,MCD,MRK,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,15776,6853,8105,10134,8855,20038,7159,13697,
剩餘資金,67.5199999999,81.3300000001,127.9499999999,72.4400000000,116.7499999999,29.5599999999,110.1900000000,11.7799999999,
FS(34),1285022.7200000000,1346284.6500000001,1269695.1499999999,1361575.3399999999,1345988.2000000002,1261822.4199999999,1300399.3599999999,1289858.2700000000,10460646.1100000013,
FS(35),1291806.3999999999,1364376.5700000001,1287283.0000000000,1358737.8199999998,1356171.4500000000,1276049.4000000001,1310350.3700000001,1298350.4100000001,10543125.4199999999,
FS(36),1301745.2800000000,1359236.8200000001,1278043.2999999998,1360257.9199999999,1364406.5999999999,1293081.7000000002,1312140.1200000001,1292734.6399999999,10561646.3799999990,
FS(37),1297012.4800000000,1364993.3400000001,1269289.8999999999,1367250.3799999999,1361395.8999999999,1311717.0400000000,1323952.4699999997,1294926.1600000001,10590537.6699999999,
FS(38),1297643.5200000000,1366843.6500000001,1260293.3499999999,1378803.1400000001,1370870.7500000000,1322938.3200000001,1335263.6899999999,1286844.9300000002,10619501.3499999996,
FS(39),1297170.2400000000,1385963.5200000000,1226495.5000000000,1382654.0600000001,1369453.9500000000,1325743.6399999999,1326314.9399999999,1309171.0400000000,10622966.8899999987,
FS(40),1308844.4800000000,1370544.2700000000,1227387.0499999998,1381742.0000000000,1363432.5500000000,1320934.5200000000,1325384.2700000000,1304240.1200000001,10602509.2599999979,
FS(41),1310737.6000000001,1363074.5000000000,1234033.1500000001,1368263.7799999998,1361307.3500000001,1313320.0800000001,1321661.5899999999,1299857.0800000001,10572255.1300000008,
FS(42),1324778.2400000000,1368077.1900000002,1242057.0999999999,1356204.3199999998,1366443.2500000000,1305705.6399999999,1329536.4899999998,1318074.0900000001,10610876.3200000003,
FS(43),1319414.3999999999,1353274.7100000002,1233384.7500000000,1344246.1999999997,1356082.8999999999,1289274.4800000002,1326458.1200000001,1293282.5200000000,10515418.0800000001,
FS(44),1329037.7600000000,1355262.0800000001,1243434.9500000000,1340699.2999999998,1356348.5500000000,1284264.9800000002,1327531.9699999997,1284516.4399999999,10521096.0299999993,
