代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12417546.8000000007
真實報酬,2417546.8000000007
趨勢值,0.1564129423

選擇檔數,7
找到最佳解世代,1709
找到最佳解實驗,1
Stock#,AXP,BA,CSCO,JNJ,MRK,UNH,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,23845,19080,68582,19258,34151,25615,32059,
剩餘資金,17.0500000001,51.3999999999,7.9400000001,12.5599999999,34.6700000001,22.4499999999,21.9599999999,
FS(106),1778377.1499999999,1963192.5999999999,1686439.3200000001,1671221.7999999998,1589763.7200000000,1678829.5500000000,1635351.5499999998,12003178.6899999995,
FS(107),1819629.0000000000,1988187.3999999999,1685067.6800000002,1692213.0200000000,1610595.8300000001,1694967.0000000000,1644648.6599999999,12135311.5899999999,
FS(108),1837035.8500000001,1991431.0000000000,1689182.6000000001,1706078.7799999998,1619133.5800000001,1730571.8500000001,1640480.9900000000,12213917.6499999985,
FS(109),1850627.5000000000,1997345.8000000000,1725531.0600000003,1711663.5999999996,1626305.2900000000,1741074.0000000000,1633748.6000000001,12286298.8499999996,
FS(110),1820105.8999999999,2012991.3999999999,1742676.5600000003,1718596.4799999997,1637916.6300000001,1733901.7999999998,1620283.8199999998,12286475.5899999980,
FS(111),1834651.3500000001,2039321.7999999998,1774224.2800000003,1726877.4199999999,1649869.4800000002,1751063.8499999999,1641763.3500000001,12417774.5300000012,
FS(112),1867795.8999999999,1943731.0000000000,1779025.0200000003,1733039.9799999997,1657724.2100000002,1741842.4500000000,1616116.1499999999,12339277.7099999990,
FS(113),1856350.2999999998,2016044.2000000000,1778339.2000000002,1740935.7600000000,1657041.1900000002,1732108.7500000000,1601689.6000000001,12382512.0000000000,
FS(114),1866365.2000000000,1988759.8000000000,1763251.1600000001,1740935.7600000000,1647137.4000000001,1713922.0999999999,1611948.4800000000,12332322.8999999985,
FS(115),1831313.0500000000,1999444.6000000001,1763936.9800000002,1735736.0999999996,1643722.3000000003,1696503.9000000001,1626695.6200000001,12297355.5499999989,
FS(116),1764785.5000000002,2053631.7999999998,1773538.4600000002,1736506.4199999999,1618792.0700000001,1807160.7000000000,1602010.1899999999,12356428.1400000006,
FS(117),1765977.7500000000,2040848.1999999997,1770795.1800000002,1776177.8999999999,1632110.9600000002,1830214.2000000000,1601369.0100000000,12417496.1999999993,
FS(118),1781715.4500000000,2038940.2000000000,1763936.9800000002,1777140.7999999998,1629720.3900000001,1848913.1500000001,1611627.8900000001,12451997.8599999975,
FS(119),1774323.5000000000,2056684.6000000001,1752963.8600000001,1779836.9199999999,1636892.1000000001,1861976.7999999998,1614513.2000000000,12477193.9799999986,
FS(120),1796976.2500000000,2040657.3999999999,1755021.3200000001,1778681.4399999997,1631427.9400000002,1857878.3999999999,1615154.3800000001,12475800.1299999990,
FS(121),1806752.7000000000,2035887.3999999999,1748848.9400000002,1782725.6199999996,1645088.3400000003,1860183.7500000000,1625733.8500000001,12505223.6000000015,
FS(122),1796499.3500000001,2014899.3999999999,1748848.9400000002,1787732.6999999997,1656016.6600000001,1849681.5999999999,1635672.1400000001,12489353.7899999991,
FS(123),1789822.7500000000,1999826.2000000000,1737190.0000000000,1795050.7399999998,1650894.0100000002,1864538.3000000000,1650739.8700000001,12488064.8699999992,
FS(124),1792922.6000000001,2017379.8000000000,1760507.8800000004,1794280.4199999999,1640990.2200000000,1851218.4999999998,1616436.7400000000,12473739.1600000001,
FS(125),1759062.7000000000,2005359.3999999999,1755021.3200000001,1800635.5599999998,1645088.3400000003,1866075.1999999997,1586301.2799999998,12417546.8000000007,
