代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11954299.8399999999
真實報酬,1954299.8399999999
趨勢值,0.1193153143

選擇檔數,7
找到最佳解世代,2116
找到最佳解實驗,1
Stock#,AAPL,DIS,MRK,PG,VZ,WBA,XOM,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,8448,14277,24639,19852,29262,21836,18564,
剩餘資金,14.2000000000,14.3800000000,1.7800000001,21.0800000001,0.1600000000,59.8800000000,71.1999999999,
FS(70),1750862.2000000000,1627306.8399999999,1643176.6899999999,1634833.2800000000,1542107.5600000001,1451935.5199999998,1498742.9199999999,11148968.0100000016,
FS(71),1764632.4399999999,1629876.7000000000,1626175.7800000000,1615973.8800000001,1551178.7799999998,1444948.0000000000,1491131.6799999999,11123920.2599999998,
FS(72),1753227.6399999999,1608746.7400000000,1627900.5099999998,1616569.4400000002,1535377.2999999998,1451935.5199999998,1474424.0800000001,11068184.2300000004,
FS(73),1764547.9600000000,1600751.6199999999,1643915.8600000001,1618356.1200000001,1528061.7999999998,1451717.1599999999,1458459.0400000000,11065812.5599999987,
FS(74),1771982.2000000000,1609746.1299999999,1637509.7200000000,1614187.2000000002,1547082.0999999999,1499319.6399999999,1453818.0400000000,11133648.0299999993,
FS(75),1776121.7200000000,1611173.8299999998,1659931.2100000002,1633840.6799999999,1557909.0400000000,1500848.1599999999,1428385.3599999999,11168212.9999999981,
FS(76),1802141.5599999998,1605891.3399999999,1696396.9299999999,1661434.9600000000,1588048.8999999999,1520282.2000000000,1448063.2000000000,11322262.0899999999,
FS(77),1838130.0400000000,1605891.3399999999,1701571.1200000001,1661434.9600000000,1603265.1399999999,1528361.5199999998,1452889.8400000001,11391546.9600000009,
FS(78),1820220.2800000000,1598895.6099999999,1728920.4100000001,1660442.3600000001,1599168.4600000000,1528361.5199999998,1463100.0400000000,11399111.6800000016,
FS(79),1816672.1199999999,1604606.4099999999,1704281.4100000001,1665603.8800000001,1606776.5799999998,1534038.8799999999,1463471.3199999998,11395453.5999999978,
FS(80),1816756.6000000001,1598181.7599999998,1701078.3400000001,1655479.3600000001,1584244.8399999999,1520718.9199999999,1484448.6399999999,11360911.4599999990,
FS(81),1820473.7200000000,1599038.3799999999,1699353.6100000001,1652501.5600000001,1588341.5200000000,1512857.9600000000,1468112.3199999998,11340682.0699999984,
