代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14037655.5199999996
真實報酬,4037655.5199999996
趨勢值,0.1382839497

選擇檔數,8
找到最佳解世代,1887
找到最佳解實驗,1
Stock#,AAPL,BA,DD,KO,MCD,MMM,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10761,7963,15238,29904,10449,7020,7742,15723,
剩餘資金,109.8499999999,47.8900000000,26.8600000000,12.8000000001,90.6200000000,88.9999999999,54.1000000001,21.5000000000,
FS(105),1672907.2999999998,1514849.3799999999,1368246.8799999999,1372307.3600000001,1606519.8799999999,1451123.0000000000,1388891.4800000000,1511787.9500000002,11886633.2299999986,
FS(106),1656550.5799999998,1504656.7399999998,1371751.6199999999,1375297.7600000000,1596593.3299999998,1447753.3999999999,1388736.6400000001,1518077.1499999999,11859417.2199999988,
FS(107),1662146.2999999998,1487138.1399999999,1383027.7400000000,1374998.7200000000,1580292.8899999997,1442067.2000000000,1399962.5400000000,1506127.6700000002,11835761.1999999974,
FS(108),1672046.4199999999,1497888.1899999999,1388361.0399999998,1360943.8400000001,1587711.6799999999,1439259.2000000000,1418465.9200000002,1510844.5700000001,11875520.8599999994,
FS(109),1667957.2400000000,1512460.4800000000,1388208.6599999997,1349580.3200000001,1582382.6899999999,1445787.8000000000,1406698.0800000001,1510844.5700000001,11863919.8400000017,
FS(110),1603283.6299999997,1513256.7799999998,1404970.4600000000,1355262.0800000001,1582905.1399999997,1452737.6000000001,1404917.4200000002,1486788.3800000001,11804121.4900000002,
FS(111),1564974.4699999997,1513017.8899999999,1389122.9399999997,1355561.1200000001,1551453.6499999999,1455966.7999999998,1387807.6000000001,1470122.0000000000,11688026.4700000007,
FS(112),1577564.8399999999,1521697.5599999998,1416246.5799999998,1346589.9200000002,1565559.7999999998,1468041.2000000002,1401743.2000000002,1494964.3400000001,11792407.4399999976,
FS(113),1562176.6099999999,1531969.8299999998,1400399.0600000001,1354664.0000000000,1574545.9399999999,1474359.2000000000,1411885.2200000002,1498737.8599999999,11808737.7199999988,
FS(114),1552814.5399999998,1556416.2399999998,1390951.5000000000,1353168.8000000000,1579665.9499999997,1483344.8000000000,1396556.0600000001,1480656.4099999999,11793574.3000000007,
FS(115),1531077.3200000001,1564299.6099999999,1397351.4600000000,1354963.0400000000,1588234.1299999999,1497033.8000000000,1406233.5600000001,1480656.4099999999,11819849.3300000001,
FS(116),1574874.5899999999,1585321.9299999999,1415332.2999999998,1357056.3200000001,1600250.4799999997,1497876.2000000002,1416994.9400000002,1490404.6700000002,11938111.4299999978,
FS(117),1560562.4599999997,1579349.6799999999,1412741.8399999999,1363934.2400000000,1609968.0499999998,1497876.2000000002,1418930.4400000002,1483958.2400000000,11927321.1499999985,
FS(118),1569816.9199999999,1586038.5999999999,1381961.0799999998,1352271.6799999999,1606415.3899999997,1494366.2000000002,1431704.7400000000,1486473.9200000002,11909048.5299999993,
FS(119),1567234.2799999998,1588188.6099999999,1385161.0600000001,1347786.0800000001,1617595.8200000001,1489873.3999999999,1443937.1000000001,1477197.3500000001,11916973.6999999993,
FS(120),1574228.9299999999,1610405.3799999999,1377389.6799999999,1353168.8000000000,1615923.9799999997,1494647.0000000000,1434259.6000000001,1502825.8400000001,11962849.2099999990,
FS(121),1569278.8699999999,1592488.6299999999,1379523.0000000000,1358551.5200000000,1608818.6599999999,1492611.2000000002,1433253.1400000001,1497165.5600000001,11931690.5799999982,
FS(122),1546788.3799999997,1583808.9599999997,1369161.1599999997,1347188.0000000000,1606310.8999999999,1472744.6000000001,1429227.3000000000,1492134.2000000002,11847363.4999999981,
FS(123),1569386.4800000000,1589621.9500000000,1372513.5199999998,1355262.0800000001,1612371.3200000001,1478641.4000000001,1437743.5000000000,1513045.7900000000,11928586.0400000010,
FS(124),1546250.3299999998,1572421.8699999999,1360780.2599999998,1340609.1200000001,1600145.9899999998,1459196.0000000000,1434414.4400000002,1484587.1599999999,11798405.1699999999,
FS(125),1549909.0700000001,1574731.1399999999,1368704.0199999998,1341207.2000000002,1600459.4599999997,1461582.8000000000,1435575.7400000000,1474524.4399999999,11806693.8699999992,
FS(126),1544313.3499999999,1581420.0599999998,1387599.1399999999,1338515.8400000001,1593563.1199999999,1473095.6000000001,1445098.4000000001,1467763.5499999998,11831369.0600000005,
